2024-10-07 22:22:17,606 - INFO - Enabling compilation
2024-10-07 22:22:18,857 - INFO - used cuda memory after creating model: 552298496
Number of decayed parameter tensors 50 for a total of 124354560 parameters
Number of non-decayed parameter tensors 98 for a total of 121344 parameters
2024-10-07 22:22:19,689 - INFO - total desired batch size: 524288
2024-10-07 22:22:19,689 - INFO - => computed gradient accumulation steps 32
2024-10-07 22:22:19,690 - INFO - Starting epoch 0
W1007 22:22:42.191000 136438608200896 torch/_logging/_internal.py:1034] [6/0] Profiler function <class 'torch.autograd.profiler.record_function'> will be ignored
2024-10-07 22:22:42,383 - INFO - tokens per second = 23104 | loss: 10.964828 | gradient norm 0.1629 | dt 22692.974091 ms | CUDA memory: 526.96 MB | CPU memory: 1.93 GB
2024-10-07 22:22:46,581 - INFO - tokens per second = 125055 | loss: 10.950263 | gradient norm 0.1770 | dt 4192.445040 ms | CUDA memory: 1478.46 MB | CPU memory: 1.99 GB
2024-10-07 22:22:50,754 - INFO - tokens per second = 125610 | loss: 10.909553 | gradient norm 0.1655 | dt 4173.946619 ms | CUDA memory: 1478.46 MB | CPU memory: 1.99 GB
2024-10-07 22:22:54,937 - INFO - tokens per second = 125346 | loss: 10.861148 | gradient norm 0.1627 | dt 4182.721853 ms | CUDA memory: 1478.46 MB | CPU memory: 1.99 GB
2024-10-07 22:22:58,995 - INFO - tokens per second = 129175 | loss: 10.793405 | gradient norm 0.1687 | dt 4058.752060 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:03,185 - INFO - tokens per second = 125134 | loss: 10.714216 | gradient norm 0.1631 | dt 4189.815521 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:07,312 - INFO - tokens per second = 127052 | loss: 10.627369 | gradient norm 0.1459 | dt 4126.550198 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:11,356 - INFO - tokens per second = 129633 | loss: 10.546032 | gradient norm 0.1383 | dt 4044.394493 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:15,411 - INFO - tokens per second = 129313 | loss: 10.451344 | gradient norm 0.1237 | dt 4054.404974 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:19,587 - INFO - tokens per second = 125581 | loss: 10.372637 | gradient norm 0.1159 | dt 4174.899101 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:23,800 - INFO - tokens per second = 124395 | loss: 10.292196 | gradient norm 0.1096 | dt 4214.718342 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:27,893 - INFO - tokens per second = 128092 | loss: 10.233425 | gradient norm 0.1004 | dt 4093.068838 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:32,117 - INFO - tokens per second = 124127 | loss: 10.170259 | gradient norm 0.1009 | dt 4223.809004 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:36,220 - INFO - tokens per second = 127778 | loss: 10.122562 | gradient norm 0.0960 | dt 4103.101492 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:40,417 - INFO - tokens per second = 124935 | loss: 10.039735 | gradient norm 0.0935 | dt 4196.481943 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:44,499 - INFO - tokens per second = 128419 | loss: 9.994219 | gradient norm 0.0895 | dt 4082.629204 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:48,688 - INFO - tokens per second = 125155 | loss: 9.955167 | gradient norm 0.1089 | dt 4189.115524 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:52,863 - INFO - tokens per second = 125577 | loss: 9.909580 | gradient norm 0.0814 | dt 4175.027609 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:23:56,991 - INFO - tokens per second = 127021 | loss: 9.917261 | gradient norm 0.0826 | dt 4127.570868 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:24:01,019 - INFO - tokens per second = 130175 | loss: 9.902987 | gradient norm 0.0754 | dt 4027.575254 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:24:05,171 - INFO - tokens per second = 126255 | loss: 9.797866 | gradient norm 0.0741 | dt 4152.607203 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:24:09,309 - INFO - tokens per second = 126691 | loss: 9.750220 | gradient norm 0.1361 | dt 4138.318777 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
2024-10-07 22:24:13,391 - INFO - tokens per second = 128466 | loss: 9.735470 | gradient norm 0.0721 | dt 4081.140280 ms | CUDA memory: 1478.46 MB | CPU memory: 2.00 GB
